node1;node2;max lq1;last lq1;max lq2;last lq2;became bi;lost bi;lost
raspi-01;raspi-07;1.0;0.9;1.0;1.0;True;False;False
raspi-01;raspi-03;1.0;1.0;1.0;1.0;True;False;False
raspi-01;raspi-02;1.0;0.9;1.0;1.0;True;False;False
raspi-01;raspi-06;1.0;1.0;1.0;1.0;True;True;False
raspi-01;raspi-09;1.0;0.0;0.9;0.5;True;True;True
raspi-01;raspi-10;0.9;0.5;1.0;0.9;True;True;True
raspi-01;raspi-19;0.5;0.0;0.9;0.0;False;True;True
raspi-01;raspi-08;1.0;0.9;1.0;1.0;True;False;False
raspi-05;raspi-07;1.0;0.8;1.0;0.6;True;True;True
raspi-05;raspi-18;0.9;0.9;0.7;0.7;True;True;True
raspi-05;raspi-08;1.0;0.9;0.9;0.7;True;True;True
raspi-05;raspi-17;1.0;0.5;1.0;0.8;True;True;True
raspi-05;raspi-14;1.0;0.6;1.0;0.8;True;True;True
raspi-05;raspi-11;1.0;1.0;1.0;0.9;True;False;False
raspi-05;raspi-09;1.0;1.0;1.0;0.8;True;False;False
raspi-05;raspi-10;1.0;1.0;1.0;1.0;True;False;False
raspi-05;raspi-19;1.0;1.0;1.0;1.0;True;False;False
raspi-05;raspi-12;1.0;1.0;1.0;0.9;True;False;False
raspi-12;raspi-18;1.0;1.0;1.0;0.8;True;True;False
raspi-12;raspi-13;1.0;1.0;1.0;0.8;True;True;True
raspi-12;raspi-14;1.0;0.7;1.0;0.7;True;True;True
raspi-11;raspi-12;1.0;1.0;1.0;1.0;True;True;False
raspi-06;raspi-12;0.5;0.5;1.0;0.9;True;True;True
raspi-10;raspi-12;1.0;1.0;1.0;1.0;True;True;False
raspi-12;raspi-19;1.0;1.0;1.0;1.0;True;False;False
raspi-09;raspi-12;0.0;0.0;0.8;0.6;False;False;True
raspi-07;raspi-08;1.0;1.0;1.0;1.0;True;False;False
raspi-03;raspi-08;1.0;0.8;1.0;0.9;True;True;False
raspi-08;raspi-10;1.0;0.8;1.0;1.0;True;True;False
raspi-08;raspi-11;1.0;0.7;1.0;1.0;True;True;True
raspi-08;raspi-09;1.0;1.0;1.0;1.0;True;False;False
raspi-06;raspi-08;1.0;0.8;1.0;1.0;True;True;False
raspi-02;raspi-08;1.0;0.8;1.0;0.9;True;True;False
raspi-08;raspi-19;0.8;0.5;1.0;0.7;True;True;True
raspi-03;raspi-07;1.0;1.0;1.0;0.9;True;True;True
raspi-02;raspi-07;1.0;0.8;1.0;0.9;True;True;True
raspi-07;raspi-10;1.0;0.9;1.0;1.0;True;True;False
raspi-07;raspi-11;1.0;0.8;1.0;1.0;True;True;True
raspi-07;raspi-09;1.0;1.0;1.0;0.9;True;False;False
raspi-06;raspi-07;0.9;0.8;1.0;1.0;True;True;True
raspi-13;raspi-18;1.0;1.0;1.0;1.0;True;False;False
raspi-13;raspi-17;1.0;1.0;1.0;1.0;True;False;False
raspi-13;raspi-15;1.0;0.7;1.0;1.0;True;True;True
raspi-13;raspi-14;1.0;1.0;1.0;1.0;True;False;False
raspi-11;raspi-13;0.8;0.7;1.0;0.7;True;True;True
raspi-13;raspi-19;1.0;0.7;1.0;1.0;True;True;True
raspi-16;raspi-18;1.0;1.0;1.0;0.8;True;True;False
raspi-16;raspi-17;1.0;1.0;1.0;1.0;True;False;False
raspi-15;raspi-16;1.0;1.0;1.0;0.9;True;False;False
raspi-14;raspi-16;1.0;0.9;1.0;1.0;True;False;False
raspi-16;raspi-19;0.9;0.5;0.9;0.6;True;True;True
raspi-17;raspi-18;1.0;1.0;1.0;1.0;True;False;False
raspi-15;raspi-17;1.0;1.0;1.0;1.0;True;False;False
raspi-14;raspi-17;1.0;1.0;1.0;1.0;True;False;False
raspi-17;raspi-19;0.9;0.5;1.0;0.7;True;True;True
raspi-15;raspi-18;1.0;1.0;1.0;0.0;True;True;True
raspi-14;raspi-18;1.0;1.0;1.0;0.8;True;True;False
raspi-18;raspi-19;1.0;0.9;1.0;0.9;True;True;False
raspi-03;raspi-10;0.5;0.0;0.7;0.6;False;True;True
raspi-03;raspi-09;0.9;0.0;1.0;0.8;True;True;True
raspi-03;raspi-06;1.0;1.0;1.0;1.0;True;True;False
raspi-02;raspi-03;1.0;1.0;1.0;1.0;True;False;False
raspi-14;raspi-15;1.0;1.0;1.0;1.0;True;False;False
raspi-14;raspi-19;0.6;0.0;0.9;0.5;True;True;True
raspi-10;raspi-11;1.0;1.0;1.0;1.0;True;False;False
raspi-09;raspi-10;1.0;0.9;1.0;1.0;True;False;False
raspi-02;raspi-10;1.0;0.5;1.0;1.0;True;True;True
raspi-10;raspi-19;1.0;1.0;1.0;0.9;True;False;False
raspi-06;raspi-10;0.5;0.0;0.6;0.0;False;True;True
raspi-02;raspi-09;1.0;0.0;0.6;0.0;True;True;True
raspi-02;raspi-06;1.0;1.0;1.0;0.8;True;True;False
raspi-11;raspi-19;1.0;1.0;1.0;0.9;True;True;False
raspi-09;raspi-19;0.9;0.5;1.0;0.8;True;True;True
raspi-06;raspi-19;0.0;0.0;0.5;0.0;False;False;True
raspi-01;raspi-11;0.0;0.0;0.5;0.0;False;False;True
raspi-09;raspi-11;1.0;1.0;1.0;1.0;True;False;False
raspi-06;raspi-11;0.0;0.0;0.7;0.5;False;False;True
raspi-06;raspi-09;1.0;0.6;1.0;1.0;True;True;True
